t_s,P_rigid_W,P_membrane_W,lift_rigid_N,lift_membrane_N,drag_rigid_N,drag_membrane_N,elastic_energy_J,effective_alpha_deg
0.2375,0.333689,4.845826,0.029298,0.000703,0.016145,0.058574,1.90434068,53.7553
0.2417,-3.578162,8.261353,0.104934,0.047304,0.036662,0.031810,1.91989307,49.2010
0.2458,-2.935597,5.113413,0.004914,0.719783,0.068709,0.064686,1.91310977,54.1705
0.2500,-3.232556,4.777249,0.385073,1.129160,0.122628,0.099045,1.93361599,20.0019
0.2542,-4.348387,0.722277,1.423736,2.976519,0.230640,0.286764,1.92760963,33.8155
0.2583,-6.162060,-0.606330,3.457672,4.010638,0.482655,0.389153,1.96178744,2.2461
0.2625,-12.717468,-3.141433,7.132212,4.972210,1.613938,0.587933,1.97915713,7.0944
0.2667,-12.127606,-0.287378,7.057628,4.161156,1.219929,0.396224,2.00393576,10.5835
0.2708,-13.207293,-2.614264,9.239387,5.871875,1.584182,0.714782,2.03236945,50.9420
0.2750,-15.637572,-5.715422,13.632730,5.444144,2.595014,0.920708,2.05448386,54.6655
0.2792,-18.564210,5.932295,19.138135,0.882986,4.209631,0.078450,2.03989894,25.1888
0.2833,-17.957103,-3.321840,9.867060,2.678870,3.335939,0.584953,2.06106900,44.6349
0.2875,-9.583036,5.349659,5.708649,0.980907,1.021680,0.085759,2.04899586,42.8354
0.2917,-13.102029,2.110927,9.249349,2.480072,2.198854,0.277500,2.07363360,18.9294
0.2958,-16.662926,-9.766072,9.640599,4.281329,3.144309,1.069868,2.06603651,50.9579
0.3000,-9.683898,-4.439545,5.524446,4.416165,1.191315,0.754060,2.10719852,2.3454
0.3042,-15.571869,2.419543,7.322727,2.104455,2.666315,0.231272,2.09809950,47.3432
0.3083,-11.925602,2.867728,5.406581,2.040166,1.721629,0.235888,2.12464927,72.5311
0.3125,-11.288789,-7.129156,4.111856,3.736014,1.440863,0.924975,2.11320345,63.7189
0.3167,-7.861786,0.041995,2.713258,3.098906,0.772246,0.463507,2.15042002,53.8011
0.3208,-8.633969,-5.526144,2.734534,3.577456,0.861840,0.854285,2.13799161,27.0983
0.3250,-10.248178,-0.597204,3.801871,1.997818,1.220259,0.451640,2.17465300,35.6598
0.3292,-11.731716,6.827650,3.737290,0.555011,1.393527,0.056257,2.15347508,18.3406
0.3333,-9.000471,-0.471477,3.432015,0.527920,0.968609,0.140148,2.17769270,60.2199
0.3375,-12.273688,7.846600,2.010378,0.295483,0.883889,0.030712,2.16803314,42.6358
0.3417,-3.567549,2.792789,0.679148,0.818642,0.144224,0.198534,2.18917149,26.1542
0.3458,-7.277056,3.522833,0.656507,0.806332,0.289363,0.180730,2.17904624,31.4049
0.3500,0.387409,2.979742,0.347885,0.752236,0.056083,0.185078,2.20025515,78.8129
0.3542,-9.218558,4.519009,0.304789,0.353063,0.122313,0.092890,2.19131391,0.0144
0.3583,2.706194,-10.044079,1.002507,0.639805,0.279884,0.118861,2.21721498,24.6865
0.3625,-8.333838,9.935522,0.397977,0.027578,0.170014,0.004672,2.20328427,15.2355
0.3667,3.094690,7.210336,1.153438,-0.000073,0.339887,0.000165,2.21976588,6.9066
0.3708,0.575898,-7.876269,0.016822,0.625418,0.006365,0.217151,2.20302034,48.0109
0.3750,-3.477453,-9.972408,-0.093830,0.030916,0.040105,0.012360,2.22794485,41.6313
0.3792,5.646748,-9.173835,0.000363,-0.104889,0.001037,0.037049,2.21019096,13.3731
0.3833,-7.153063,-5.689848,-0.019614,0.000769,0.006150,0.001175,2.23146650,37.5374
0.3875,0.887578,-8.114669,-0.029968,-0.203696,0.008772,0.076268,2.21031065,41.4557
0.3917,4.809679,-7.569724,-0.450434,-0.612132,0.182708,0.164387,2.23597697,26.9472
0.3958,1.109043,-7.415969,-0.063633,-0.584420,0.013920,0.161516,2.21308224,6.3487
0.4000,6.056489,10.592760,-0.934469,-0.088429,0.340935,0.009533,2.23025735,45.1564
0.4042,5.706492,-5.514782,-0.890997,-0.489814,0.312963,0.194149,2.21091233,37.9486
0.4083,0.995951,8.934854,-0.063362,-0.448296,0.011825,0.062033,2.22642840,32.2007
0.4125,10.545747,-3.070275,-1.178703,-1.814090,0.520930,0.616004,2.21250017,49.4944
0.4167,1.510277,-0.133104,-0.127151,-3.917824,0.038917,1.271735,2.22796020,30.5116
0.4208,7.319601,-4.545209,-2.340926,-3.149258,0.543681,0.501777,2.19575825,26.0232
0.4250,13.230983,4.918534,-3.913104,-7.902729,1.466523,2.448881,2.22646473,12.3616
0.4292,3.125349,-1.322261,-0.831798,-5.368140,0.115937,1.000231,2.19792629,2.6880
0.4333,13.423348,-1.515805,-4.236481,-4.223974,1.453710,0.863065,2.20910723,41.2086
0.4375,7.277601,-1.604819,-3.081704,-3.520567,0.527595,0.868821,2.19027561,48.1495
0.4417,12.411710,10.097073,-5.145285,-0.141602,1.257659,0.012010,2.19496467,40.6209
0.4458,12.671132,-0.767249,-5.597280,-2.222860,1.247446,0.761764,2.17633489,61.3515
0.4500,11.355167,-2.895494,-4.686250,-3.455121,0.923423,0.738904,2.18369728,36.9346
0.4542,10.581088,-3.571230,-3.959460,-3.971653,0.710067,0.611720,2.16204989,0.8967
0.4583,9.945306,-3.922802,-3.307679,-3.800451,0.544226,0.495785,2.17457289,18.8343
0.4625,10.459777,1.300485,-3.317729,-5.742511,0.565582,0.878188,2.13500716,4.1642
0.4667,4.357669,4.064237,-0.978025,-7.409411,0.145663,1.121026,2.16363974,39.3207
0.4708,10.180921,1.229353,-2.540125,-5.890030,0.401425,0.746749,2.13073429,48.3070
0.4750,7.762317,4.978434,-2.102332,-5.135012,0.298090,0.728412,2.14235195,42.9855
0.4792,7.007315,-3.554857,-1.082663,-2.490289,0.259022,0.357761,2.12398902,48.4191
