t_s,P_rigid_W,P_membrane_W,lift_rigid_N,lift_membrane_N,drag_rigid_N,drag_membrane_N,elastic_energy_J,effective_alpha_deg
1.1833,9.605687,-5.657381,2.927854,1.124754,1.274137,0.162068,2.01835459,75.2939
1.1875,2.910189,-5.592288,1.552119,1.455185,0.240640,0.155009,1.98933910,35.2778
1.1917,3.170290,-1.226596,1.943165,3.573199,0.279780,0.684632,2.02606730,34.6177
1.1958,7.422794,-3.078597,5.799818,4.034070,1.725668,0.553953,1.98842660,60.1424
1.2000,3.812430,-4.550405,3.706094,3.799113,0.583002,0.388406,2.03149700,50.1416
1.2042,6.430321,-3.294793,7.981021,4.930897,2.061305,0.830582,2.01840556,63.1696
1.2083,1.758438,-9.526266,1.573920,0.105552,0.218314,0.019052,2.03467416,63.3202
1.2125,3.408632,-7.910659,5.038347,1.214489,1.170670,0.142223,2.02195601,45.8660
1.2167,0.605718,-8.860270,0.522122,1.148805,0.093630,0.099769,2.03401379,67.6111
1.2208,0.726149,-9.042210,1.669685,1.699921,0.240799,0.151752,2.00394913,50.0105
1.2250,0.010536,10.216873,1.749586,1.482504,0.249897,0.129843,2.03882070,43.5123
1.2292,-1.260531,8.484548,1.981169,1.301229,0.300672,0.132034,2.00851020,42.3075
1.2333,-2.154792,6.904403,0.990982,0.826502,0.295531,0.112018,2.04084816,40.4167
1.2375,-4.640380,8.615352,0.944939,0.049714,0.362029,0.043664,2.01234472,34.3395
1.2417,-6.288788,4.301524,1.961978,0.639752,0.365023,0.069249,2.04736647,19.3398
1.2458,-4.843638,6.347076,1.972817,0.375849,0.356070,0.070369,2.02094527,66.8984
1.2500,-9.113839,5.142015,5.074586,1.375649,0.735749,0.124259,2.05928871,6.6923
1.2542,-4.218346,0.040587,1.884669,2.593668,0.263785,0.282540,2.03189872,45.3869
1.2583,-8.486640,3.823443,3.943801,1.586069,0.658213,0.135247,2.07846733,6.3305
1.2625,-2.077161,5.175163,0.496320,1.286499,0.088750,0.109188,2.04530201,62.7844
1.2667,-10.606417,-3.381540,4.317317,4.363955,1.125044,0.656895,2.09358603,76.0106
1.2708,-9.792716,0.548112,4.623518,3.151414,0.851623,0.312132,2.06407698,70.1728
1.2750,-10.699253,2.319837,6.265171,2.721694,1.104149,0.268534,2.11304666,48.8385
1.2792,-12.964811,-4.372290,9.639408,5.407670,1.865510,0.877913,2.08364432,64.0465
1.2833,-16.208086,-1.386500,14.816180,4.573569,3.330284,0.619171,2.14411684,42.5504
1.2875,-19.207174,-3.961576,13.182492,5.367000,4.248184,0.902811,2.09974319,53.0409
1.2917,-12.104724,-4.858046,8.527018,5.361164,1.905294,0.967602,2.17058971,56.6461
1.2958,-14.513044,1.773558,8.828885,2.518465,2.722402,0.341933,2.11667068,20.5431
1.3000,-11.456924,-2.793589,6.274249,2.461863,1.648372,0.584593,2.17339429,51.2942
1.3042,-4.699071,9.038486,1.551001,0.037051,0.277046,0.015506,2.12902839,51.8211
1.3083,-16.766734,-4.416869,2.322912,1.731346,1.025929,0.462831,2.17158768,49.6326
1.3125,-3.266787,-0.199308,0.728998,2.350683,0.100766,0.424961,2.14149868,26.9415
1.3167,-6.951575,1.935079,2.932514,2.353401,0.544866,0.298838,2.18399688,69.8374
1.3208,-20.665330,-8.083618,6.269961,4.978559,2.735436,1.161234,2.15350209,49.3981
1.3250,-16.864851,-8.254163,8.438943,4.684945,2.959395,1.134014,2.20214941,65.3566
1.3292,-6.752124,-0.719106,2.773367,2.838179,0.503184,0.535002,2.16727232,24.3391
1.3333,-11.266158,0.116331,2.917489,1.468031,1.175096,0.363757,2.20936248,9.8845
1.3375,-9.335223,1.908358,0.746649,0.344048,0.328476,0.091700,2.17284032,67.8134
1.3417,2.673735,10.894197,0.828699,0.080541,0.253791,0.010146,2.20632645,27.5437
1.3458,-11.606764,7.984458,0.421162,-0.017637,0.164950,0.004156,2.17571168,8.2303
1.3500,0.663603,6.909042,0.594872,0.250179,0.099022,0.055425,2.20655941,16.4679
1.3542,-14.007919,4.687507,0.751679,0.842319,0.302903,0.142639,2.18199862,47.9945
1.3583,-6.025331,-1.816976,1.588318,1.040459,0.401350,0.280035,2.21473979,33.3705
1.3625,-9.000278,9.326950,-0.003550,0.075836,0.003138,0.050649,2.18973032,44.1468
1.3667,7.500823,-7.517495,0.326903,0.084279,0.134479,0.030827,2.21982551,14.2315
1.3708,-0.367774,-5.969586,-0.032699,-0.534531,0.007424,0.204920,2.19180620,65.6041
1.3750,-1.929350,10.712105,0.187866,-0.007655,0.039378,0.001551,2.21792163,34.2623
1.3792,2.913000,8.903099,0.256722,0.128156,0.108219,0.015630,2.19482562,15.6910
1.3833,3.025818,-6.397671,-0.421069,-0.049899,0.102547,0.015967,2.22023144,59.5165
1.3875,3.197402,-8.100726,-0.419762,-0.378558,0.111395,0.103861,2.19434402,39.7596
1.3917,2.526684,-6.123673,-0.126012,-0.916737,0.051042,0.289395,2.22839233,58.6014
1.3958,2.453039,-10.431755,-0.119766,-0.005378,0.048008,0.002564,2.19520214,22.8646
1.4000,3.141425,-1.758084,-0.396032,-0.244225,0.110615,0.082221,2.22586836,2.3201
1.4042,0.284863,2.863321,-0.284900,-0.089127,0.041502,0.020371,2.19172934,43.2281
1.4083,14.112601,-4.717039,-1.657829,-0.002896,0.733990,0.002019,2.22777262,31.5738
1.4125,0.106640,-4.713818,-0.411154,-1.208048,0.058598,0.416976,2.19052823,7.6750
1.4167,10.390173,-4.209548,-2.418342,-2.710703,0.892996,0.643764,2.22357006,36.4417
1.4208,11.159860,-3.241437,-3.275018,-4.067138,1.132602,0.757301,2.18575369,63.8885
1.4250,1.151281,1.378020,-0.033879,-7.421821,0.037692,1.742916,2.22879398,59.7701
1.4292,16.278604,9.722632,-2.757435,-10.078600,1.208024,3.553390,2.18168094,46.2098
1.4333,4.765537,-7.274664,-1.579855,-1.471675,0.251027,0.184715,2.21244299,59.5766
1.4375,5.491706,-6.072268,-2.050689,-1.678937,0.300527,0.239133,2.17416429,71.4640
1.4417,20.673155,-0.634069,-6.783341,-4.126038,2.657011,1.073379,2.20527980,69.6275
1.4458,7.611478,10.546536,-3.658709,-0.146563,0.614593,0.014781,2.16183897,23.7008
1.4500,-2.046889,-2.179447,-0.490200,-2.628541,0.076061,0.621007,2.19899228,3.8649
1.4542,9.497291,-3.650840,-1.567325,-3.035232,0.509806,0.466655,2.15551505,75.7628
1.4583,6.862392,0.441337,-2.058674,-5.331926,0.388041,0.935404,2.19907040,55.6866
1.4625,5.949008,-1.259601,-2.128191,-4.850645,0.306200,0.644553,2.14403522,22.2529
1.4667,5.798473,6.182673,-1.834314,-7.853647,0.260118,1.405975,2.18885402,1.3837
1.4708,15.722612,2.063602,-4.644339,-7.293196,0.813430,1.005358,2.13322351,70.6264
1.4750,11.347529,-0.118009,-4.333313,-5.019928,0.621322,0.652865,2.17146299,43.9377
1.4792,9.487705,4.167889,-2.719906,-3.654281,0.442777,0.548577,2.12530880,63.0149
1.4833,13.463377,-2.225496,-1.258794,-0.230233,0.387260,0.329294,2.14815914,64.9453
1.4875,12.655320,2.362596,-0.022068,-0.133887,0.309699,0.283744,2.10124294,34.3512
1.4917,9.655666,9.875832,-1.319811,-0.020024,0.418999,0.011602,2.12648034,26.8992
1.4958,8.979206,-3.147088,-4.461378,-1.219323,0.660447,0.170478,2.09654251,20.2545
1.5000,8.870455,-6.580930,-7.420987,-1.003643,1.073460,0.147861,2.11861360,46.1029
1.5042,7.972174,-7.602039,-7.281714,-1.859658,1.162389,0.252659,2.07474457,3.7675
1.5083,2.320462,-8.154572,-3.107082,-4.038767,0.455898,0.509127,2.11298473,70.0514
1.5125,3.081866,-5.921749,-3.224727,-10.648161,0.671874,1.814068,2.06958113,25.3324
1.5167,-0.216212,-6.460160,-0.579538,-12.505635,0.081594,2.510951,2.11671824,35.7868
1.5208,2.362183,-8.396473,-3.503363,-14.036377,0.993284,2.475917,2.07562249,69.5640
1.5250,0.436498,10.455588,-3.889572,-13.084804,0.739269,2.115028,2.12387818,46.3492
1.5292,-0.812367,9.597087,-5.319245,-19.810769,0.942465,4.192755,2.11146026,42.1942
1.5333,-1.963956,9.254061,-8.330114,-14.010413,1.606603,4.012476,2.13781701,5.2357
1.5375,-3.388699,8.664563,-13.085331,-3.397392,2.927854,0.512488,2.11208199,57.8840
1.5417,-5.045338,8.431795,-17.582988,-4.113968,4.829851,0.991071,2.11343776,10.3504
1.5458,-5.814273,7.810507,-12.144164,-4.019442,4.341564,1.008866,2.10238895,77.7572
1.5500,-3.856373,7.563543,-4.520903,-3.339083,0.917959,0.508806,2.10705199,53.9990
1.5542,-2.794875,4.255417,-2.009923,-9.548973,0.485881,3.265735,2.10624541,24.8208
1.5583,-5.915106,2.549990,-3.312613,-13.217265,1.420976,4.005645,2.11027658,83.8700
1.5625,-3.597590,3.367258,-2.167317,-10.937360,0.393286,2.426345,2.11345747,26.7596
1.5667,-5.703792,0.227512,-4.899662,-12.796636,1.121397,4.438612,2.14211299,84.0380
1.5708,-12.709588,1.232972,-8.079742,-7.779805,3.520574,2.729810,2.09804233,38.1579
1.5750,-7.570191,5.329755,-6.168551,-3.869316,1.551364,0.906952,2.13342983,14.9922
1.5792,-5.785215,5.495341,-3.142100,-1.887667,0.904978,0.661162,2.08473477,6.0779
1.5833,-7.685559,6.854000,-1.689853,-0.177107,0.746645,0.064917,2.11303367,42.0988
1.5875,-2.163622,9.777478,-0.451219,-0.077936,0.081207,0.016748,2.11113248,53.7145
1.5917,-4.748498,4.096943,-0.495214,-0.303355,0.219165,0.105039,2.10302720,20.3090
1.5958,-0.383747,3.247152,-0.435496,-2.543275,0.062300,0.917489,2.11530845,9.1021
1.6000,-10.160023,4.640049,-0.970044,-3.067340,0.408114,0.645467,2.09338820,12.9729
1.6042,-4.815029,4.741778,-1.596527,-3.262657,0.376648,0.539005,2.07489554,26.7174
1.6083,-5.581383,1.867409,-0.000063,-3.203815,0.001675,1.139361,2.08719497,68.7221
1.6125,3.329416,-8.013152,-0.590577,0.137770,0.251615,0.027150,2.05244511,71.2198
1.6167,-3.998133,-4.526892,-0.071725,0.666862,0.027740,0.156704,2.07669110,22.6180
1.6208,-1.032982,-8.807764,-0.082175,0.086377,0.011373,0.010115,2.05077398,13.3406
1.6250,0.570626,-10.351610,-0.116748,-0.013568,0.029558,0.001428,2.07634027,34.9798
1.6292,0.406746,5.909279,0.001816,-0.701365,0.002298,0.260467,2.04916609,61.7382
1.6333,5.596901,-5.069580,0.275214,-0.151908,0.117972,0.038715,2.07808909,2.8524
1.6375,-1.911538,5.699765,0.150039,0.037870,0.064044,0.010783,2.04749364,6.0878
1.6417,1.489419,-5.221991,-0.000492,0.615106,0.000206,0.132425,2.08061414,3.3291
1.6458,-0.749889,-7.789148,0.279213,0.280747,0.060837,0.025514,2.04808861,80.6081
1.6500,6.675768,-4.721910,0.783677,0.532430,0.346288,0.133075,2.07837591,20.0309
1.6542,0.543458,8.880245,0.295922,0.506695,0.043616,0.125492,2.04527331,40.2682
1.6583,7.913378,-4.913001,2.407371,0.109647,0.899600,0.027279,2.07926204,50.3452
1.6625,4.409016,8.491665,1.701932,1.005465,0.345964,0.246721,2.04957718,35.9764
1.6667,4.417585,-7.707932,1.651049,0.376989,0.349898,0.040389,2.07914566,69.6320
1.6708,4.517676,-0.147109,1.775843,1.158892,0.423177,0.312868,2.04689546,66.0847
1.6750,1.449169,-4.292110,0.235102,1.790344,0.039732,0.304292,2.07610992,13.4950
1.6792,7.379040,-6.918225,1.939505,0.900881,0.830329,0.080779,2.04694863,35.0766
1.6833,1.457209,-6.591579,0.301310,1.130133,0.058055,0.102980,2.07224798,18.6540
1.6875,2.164611,0.944152,0.819668,3.529989,0.115532,0.860760,2.04913866,43.5480
1.6917,7.289606,-6.051371,4.288979,2.012860,1.368149,0.213544,2.07635614,51.1697
1.6958,5.691064,-8.523031,5.143363,0.399356,1.128340,0.035338,2.04616468,28.4273
1.7000,4.812872,-4.681432,5.147452,2.216018,0.846887,0.397619,2.07905964,60.0963
1.7042,7.045503,-6.149081,10.301021,2.493404,2.616806,0.302568,2.04529532,46.1024
1.7083,2.175897,-7.239065,2.392832,2.340243,0.336276,0.215675,2.08040152,50.4009
1.7125,1.853549,-6.150661,2.037460,4.090663,0.283903,0.542630,2.04441425,54.3337
1.7167,2.436320,-9.486271,5.528046,0.746221,1.295335,0.065059,2.08027305,67.5788
1.7208,0.418056,-9.457735,0.980269,1.301762,0.148146,0.113894,2.04676727,59.4384
1.7250,0.047314,10.276121,0.828410,1.671024,0.152537,0.145925,2.08516077,71.0143
1.7292,-1.602048,9.087215,2.436932,1.176549,0.359213,0.117818,2.04968397,13.9598
1.7333,-2.298948,8.138051,2.328460,0.165068,0.341566,0.101405,2.08804620,39.5128
1.7375,-3.129213,6.911920,0.955463,0.123074,0.310798,0.048253,2.05720157,54.4022
1.7417,-4.366934,10.234564,1.344222,0.001520,0.366721,0.050752,2.09094579,4.5308
1.7458,-7.516602,7.137525,2.340935,0.447778,0.341084,0.038945,2.05820707,63.9637
1.7500,-2.247375,4.669320,0.457199,1.055305,0.113669,0.095332,2.09485066,50.6378
1.7542,-3.677257,4.568698,1.534024,1.242431,0.222623,0.106216,2.06774519,42.9572
1.7583,-11.434206,3.633857,6.157689,2.131597,1.296569,0.184474,2.10711324,75.3900
1.7625,-10.742043,-2.366343,5.840893,3.980076,0.932937,0.523859,2.07695032,9.0858
1.7667,-11.659996,-1.683586,7.798219,4.044166,1.242366,0.423923,2.13082894,83.8596
1.7708,-10.103121,-3.081919,7.173524,5.366658,1.156563,0.567613,2.09614920,28.9161
1.7750,-13.355617,-5.284490,11.520362,7.883068,2.390577,0.931944,2.15725158,44.1560
1.7792,-17.156574,-3.823404,11.352007,7.165541,3.357152,0.879824,2.12282094,57.7134
1.7833,-5.471284,-7.240149,2.457357,6.921798,0.371231,1.275490,2.18820238,13.3344
1.7875,-8.233628,-0.497145,4.161127,4.194673,0.944632,0.536823,2.13299635,38.9346
1.7917,-15.285330,1.714042,6.425411,2.419894,2.278621,0.386608,2.18602071,30.1243
1.7958,-2.513209,0.806414,0.472565,1.945431,0.076295,0.372989,2.13266389,46.4354
1.8000,-9.518981,8.351385,4.158792,0.286671,1.135415,0.024875,2.17810347,8.7651
1.8042,-18.578121,-5.194486,7.182584,1.836749,2.889762,0.491871,2.13676257,70.2607
1.8083,-14.343851,-4.402194,7.717976,3.349411,2.196753,0.728928,2.19026452,25.8653
1.8125,-12.794208,-1.254990,8.090296,3.371474,1.875402,0.510374,2.15241047,74.8164
1.8167,-12.295882,-0.120771,7.150710,3.451764,1.898088,0.470588,2.20607770,51.0032
1.8208,-20.670994,-7.477319,6.884568,5.425665,2.973232,1.197523,2.16628857,30.2330
1.8250,-4.723529,-7.138474,1.515826,4.111217,0.225869,1.005261,2.22336669,67.7333
1.8292,-5.321644,0.439319,1.256298,2.396730,0.353332,0.440832,2.17470108,68.7568
1.8333,-12.020243,1.335791,0.365650,1.180910,0.136759,0.291985,2.21939808,13.8809
1.8375,0.147791,3.087784,0.428889,0.209351,0.062551,0.054672,2.17886483,63.6640
1.8417,-9.845008,-10.169349,1.869672,0.192084,0.780282,0.047266,2.21626356,32.5339
1.8458,-13.544308,9.107220,2.257898,0.019332,0.993964,0.005218,2.18341259,26.7012
1.8500,-2.028079,7.446815,0.076995,0.328357,0.047514,0.049116,2.21564316,73.1384
1.8542,-9.701556,-0.423397,1.377168,0.922179,0.598993,0.246294,2.18499622,41.4063
1.8583,-6.987858,2.481594,0.072796,1.532031,0.024805,0.275694,2.22417815,49.8938
1.8625,-0.880302,1.271046,-0.019301,0.958150,0.008356,0.243569,2.19094668,59.8406
1.8667,0.529133,-8.992896,0.000130,-0.370735,0.000040,0.047311,2.22441945,71.0564
1.8708,-3.832201,-6.235837,0.356898,-0.828095,0.136139,0.260075,2.18707201,36.3341
1.8750,1.409147,10.643986,0.454854,-0.033117,0.106849,0.004570,2.22053808,21.4233
1.8792,2.468309,9.079101,-0.299590,0.089277,0.067622,0.013030,2.19028806,2.9689
1.8833,4.942979,3.987359,-0.555088,0.574721,0.215274,0.140382,2.22225751,47.3112
1.8875,-0.436856,-8.146831,-0.031943,0.000305,0.007775,0.000332,2.19267167,26.7405
1.8917,1.700119,-8.113397,0.192678,-0.521426,0.065623,0.120271,2.22272297,84.1068
1.8958,-1.608213,-6.240446,-0.117659,-1.523440,0.044959,0.278400,2.19452870,68.6428
1.9000,0.544011,1.584373,-0.094150,-2.519798,0.018533,0.998436,2.22107277,69.5528
1.9042,10.067552,9.717699,-1.602717,-0.344062,0.678801,0.036797,2.19212818,6.7976
1.9083,10.257918,-3.190058,-3.471898,-0.393753,1.093626,0.152180,2.22048285,13.8422
1.9125,10.179021,5.534442,-4.048706,-0.359219,1.072220,0.092362,2.19086480,11.1836
1.9167,9.434059,-1.744852,-2.952453,-0.279389,0.854231,0.098865,2.22710940,53.2991
1.9208,8.309372,-2.485735,-1.338401,-2.301157,0.521533,0.773901,2.19220802,13.5903
1.9250,-1.767017,-2.533792,-0.395128,-4.070780,0.080863,0.976789,2.22385043,24.8394
1.9292,13.255824,-2.043414,-0.810657,-5.365388,0.347262,0.994090,2.18424356,70.4276
1.9333,6.920993,2.366480,-2.012059,-8.491847,0.572483,1.923299,2.22226749,25.4072
1.9375,7.133459,6.261701,-3.004592,-10.627058,0.627131,2.778208,2.18144649,35.5317
1.9417,7.400530,-0.876178,-3.662304,-6.247189,0.616245,0.993938,2.21467886,25.6081
1.9458,7.634891,-0.399132,-3.524176,-5.037899,0.551133,0.846684,2.17674702,21.6410
1.9500,17.693745,2.545869,-7.728877,-5.584527,2.144656,1.436081,2.21000372,46.3633
1.9542,14.299688,7.539933,-7.991282,-0.174292,1.592338,0.026006,2.16068038,67.1024
1.9583,7.533931,-2.730411,-3.016664,-1.167832,0.427502,0.374817,2.19930135,38.3995
1.9625,17.911461,-5.302560,-6.788247,-1.725295,1.467444,0.286691,2.15682029,64.4924
1.9667,4.204821,-6.363308,-1.144174,-1.837605,0.168864,0.233781,2.19062360,51.2835
1.9708,14.707540,-6.244826,-3.895013,-1.689706,0.732463,0.225023,2.15014599,54.7517
1.9750,1.744784,-1.413361,-0.319286,-2.639730,0.080609,0.337657,2.18529064,10.2873
1.9792,2.609102,-3.152755,-0.268059,-1.630364,0.102561,0.293630,2.14050739,24.0911
1.9833,13.077670,2.425121,-1.089616,-1.677720,0.181124,0.263254,2.17438072,69.1215
1.9875,8.425315,-1.598178,-1.339235,-1.692180,0.239023,0.323031,2.12511141,68.6727
1.9917,6.565516,-3.494651,-0.203656,-0.360414,0.266749,0.374093,2.15869326,69.0526
1.9958,6.067930,-3.681635,-1.987614,-3.957027,0.384906,0.579980,2.11424613,67.5744
2.0000,9.090321,-1.364124,-6.220444,-4.673120,0.898330,0.668879,2.15030996,78.1034
2.0042,8.065612,-4.619599,-6.147037,-4.087602,0.972339,0.522984,2.10301975,55.7808
2.0083,3.339876,-6.409509,-4.754230,-6.312795,0.665641,0.802579,2.13989402,43.4203
2.0125,3.419303,-6.973485,-8.477427,-11.073983,1.399850,1.523177,2.09351782,41.0637
2.0167,4.070411,-6.919510,-8.758925,-15.093756,1.969029,2.841437,2.14044964,18.6139
2.0208,-0.650452,-8.603424,-0.724728,-16.394068,0.108181,3.042210,2.09852307,67.2596
2.0250,0.530149,-10.570634,-3.547035,-14.436194,0.879839,2.810547,2.13671577,40.1661
2.0292,-0.662897,10.027784,-4.850263,-14.693718,1.012444,3.617419,2.10019664,18.8151
2.0333,-1.340788,9.111225,-9.094717,-10.024254,2.577334,2.436831,2.13900020,50.2460
2.0375,-2.982763,8.346325,-11.617792,-6.366521,3.009816,1.521963,2.08071337,35.3883
2.0417,-4.540829,8.400073,-14.078550,-4.048544,3.973136,1.297583,2.12350967,5.0348
2.0458,-5.609183,10.063609,-13.411682,-0.348697,3.574792,0.049619,2.07350486,59.3736
2.0500,-6.965223,7.625205,-12.726679,-1.270139,4.352637,0.509049,2.11339580,27.8990
2.0542,-6.626808,6.565912,-8.358792,-3.619002,2.774744,1.092041,2.07430828,39.0624
2.0583,-4.534069,5.659998,-4.061507,-5.499436,0.950093,1.300126,2.11374219,0.7697
2.0625,-4.581523,3.841737,-2.625282,-8.444032,0.942278,1.938294,2.07556790,21.7008
2.0667,-3.955497,1.794102,-0.762058,-13.014049,0.336812,3.240120,2.12083400,81.2265
2.0708,-0.602817,-1.374799,-0.041066,-19.064420,0.005695,5.327932,2.08682283,15.4951
2.0750,-4.779505,-4.522767,-0.603196,-18.710103,0.265688,6.682107,2.14025049,60.1870
2.0792,-5.808485,-3.674811,-2.336321,-14.700795,0.837656,5.113021,2.09621498,15.8193
2.0833,-7.495889,-1.428539,-4.332033,-9.368204,1.341422,3.306855,2.14156661,17.8295
2.0875,-9.994319,-1.023884,-7.225616,-4.493662,2.259816,1.774044,2.08367210,37.6610
2.0917,-16.437186,5.173217,-7.536524,-2.390017,3.290723,0.652441,2.12840501,45.6104
2.0958,-9.385605,5.869451,-6.189064,-0.572196,1.634911,0.228012,2.08734157,79.9606
2.1000,-13.413940,10.299385,-2.398907,-0.011826,1.052777,0.001791,2.11733602,21.8744
2.1042,0.627805,-8.891406,0.031373,0.101912,0.004488,0.012567,2.08852640,25.7919
2.1083,4.517489,-6.172851,0.771028,0.632555,0.294636,0.106907,2.11509880,51.1934
2.1125,7.684086,-6.368839,2.190306,0.583688,0.843918,0.089529,2.08426136,46.8268
2.1167,3.746082,-7.955831,0.695292,0.106362,0.228374,0.027047,2.10765115,82.7538
2.1208,1.259037,-9.636125,0.029659,-0.071762,0.013088,0.013876,2.08184603,86.2448
2.1250,-2.938460,4.428653,-0.125913,-0.357707,0.055645,0.135160,2.11250911,12.2045
2.1292,-6.891550,3.197164,-0.835279,-2.348292,0.368519,0.807335,2.08512572,85.9152
2.1333,-8.128755,-2.098125,-2.628720,-4.091589,0.942892,1.610317,2.11456974,80.2572
2.1375,-0.192452,8.678191,-0.232710,0.666141,0.032486,0.190397,2.08603489,56.8442
2.1417,2.576136,-7.553693,0.458201,0.362437,0.108311,0.045518,2.11986030,53.8894
2.1458,4.146560,-7.093753,1.324255,0.407113,0.265707,0.060949,2.08794069,69.3481
2.1500,4.834222,-7.275225,1.801218,0.291747,0.348328,0.056607,2.11856043,59.7153
2.1542,7.247484,-7.162527,1.522947,0.291884,0.632397,0.060325,2.08922324,58.3822
2.1583,-0.089910,-10.219167,0.243435,0.111767,0.034928,0.017286,2.11877880,4.5068
2.1625,6.163658,-3.069861,0.053585,0.721631,0.017425,0.190773,2.09035143,73.3289
2.1667,-3.265922,-6.463747,0.769328,0.890284,0.305174,0.110849,2.12019980,25.2283
2.1708,2.708121,-5.583085,0.554890,1.349811,0.138031,0.141688,2.08654859,67.0433
2.1750,8.555184,-0.166312,1.541329,2.822339,0.682709,0.646508,2.12340958,40.5643
2.1792,7.275620,-7.078390,3.701644,0.820681,1.256222,0.074036,2.08192224,3.4760
2.1833,6.727260,-1.939086,5.158083,2.330208,1.286245,0.526362,2.11953089,39.6128
2.1875,6.300801,-8.219849,5.840889,0.475246,1.116605,0.040085,2.08147596,61.6969
2.1917,7.960711,-3.648521,7.827308,1.935374,1.833545,0.432393,2.11519099,10.0101
2.1958,9.668711,-9.053992,10.376536,0.268769,3.245738,0.026466,2.08464477,72.7726
2.2000,1.477831,-7.013556,0.654715,1.341488,0.099177,0.161990,2.11610188,76.2301
2.2042,4.803182,-5.871563,3.957780,2.329950,1.112399,0.313574,2.08066100,43.9956
2.2083,2.070016,-7.294381,2.159009,2.264239,0.308144,0.219565,2.11805210,8.9993
2.2125,2.712698,-6.262167,3.818214,3.980575,0.640571,0.550988,2.07906120,58.4347
2.2167,2.290685,-8.980707,5.187910,2.327930,0.873943,0.202360,2.12162217,59.7284
2.2208,0.963727,-9.935660,4.206462,0.517796,0.589694,0.052209,2.07787050,42.6423
2.2250,-0.130520,10.377400,2.352715,1.596875,0.395654,0.152417,2.11828553,22.9489
2.2292,-1.970896,9.232884,2.752937,1.511600,0.409672,0.130093,2.08321584,64.5934
2.2333,-1.008681,9.492482,0.131939,0.306605,0.113922,0.054292,2.11998353,61.5926
2.2375,-3.734939,7.096178,0.006730,0.085819,0.128565,0.060871,2.08554605,50.3524
2.2417,-0.397623,6.621764,0.010573,0.629932,0.049923,0.092392,2.12246296,2.9918
2.2458,-3.346845,3.038638,0.888897,1.114299,0.127238,0.099766,2.08994633,73.4155
2.2500,-6.020191,6.008386,2.054405,0.615556,0.302378,0.077695,2.12678173,13.5075
2.2542,-6.002038,4.316757,2.423050,1.727166,0.339867,0.148825,2.09489409,70.7901
2.2583,-7.156465,-0.487881,4.161736,4.539872,0.590704,0.475246,2.14221527,50.1716
2.2625,-12.398589,-1.881876,9.639240,5.376486,1.842258,0.584015,2.10735483,56.8844
2.2667,-14.245306,0.061960,9.811114,4.800142,2.178067,0.510431,2.16928819,52.4761
2.2708,-14.520378,-2.793360,10.941727,5.565258,2.111217,0.788179,2.11759447,48.3735
2.2750,-16.299532,-3.483660,14.483602,4.981695,2.892010,0.793949,2.18802778,23.7217
2.2792,-10.723952,7.430774,7.937985,0.555333,1.463448,0.047051,2.12478084,69.1812
2.2833,-17.288255,1.804998,11.773615,1.551296,3.519396,0.311287,2.17774071,55.4899
2.2875,-10.245401,5.264519,6.717331,1.135806,1.369291,0.114669,2.13295905,56.4475
2.2917,-12.652159,-4.289067,7.294225,3.468001,2.121959,0.765834,2.18388981,50.0910
2.2958,-9.065690,-4.523665,4.679672,4.567250,1.048363,0.813322,2.14289967,9.9105
2.3000,-7.038478,-1.703217,3.028316,4.423681,0.665604,0.603403,2.20243563,62.6236
2.3042,-15.284467,-3.985480,3.345153,5.854032,1.460219,0.898367,2.15119648,51.9245
2.3083,-2.414248,-9.929907,0.359139,6.796742,0.065044,1.551133,2.22365389,62.8240
2.3125,-10.892234,-6.691822,4.249299,5.415958,1.384184,1.160230,2.17116088,72.8968
2.3167,-20.011884,-2.717870,6.272103,3.443381,2.694467,0.740013,2.23082151,70.3176
2.3208,-11.617189,-2.098864,5.685047,1.763701,1.490423,0.452235,2.17176278,63.4375
2.3250,-6.237102,7.510791,2.419886,0.477095,0.412910,0.047247,2.22274651,49.3281
2.3292,-15.938466,7.656635,4.933447,0.209845,2.066615,0.041468,2.17333921,70.5916
2.3333,-8.273506,4.646798,3.257687,0.064999,0.807587,0.015251,2.21955281,14.5781
2.3375,-11.157377,-9.927457,0.979219,0.618435,0.426623,0.108722,2.17775008,61.5971
2.3417,-6.071932,2.223479,0.852230,0.719688,0.335397,0.186743,2.21728973,30.2376
2.3458,-5.168076,-2.309435,0.251504,1.585492,0.111058,0.410504,2.17912802,40.3051
2.3500,-5.700183,0.465093,0.807276,2.248108,0.305597,0.418455,2.22819313,14.6719
2.3542,-7.797140,-3.134478,2.225996,2.110868,0.676548,0.531489,2.18704405,24.3901
2.3583,-8.348329,3.198646,2.209446,1.022578,0.744673,0.222143,2.23800143,4.4361
2.3625,-6.601339,-2.463823,0.567656,-0.718695,0.249290,0.284667,2.19206013,35.7229
2.3667,0.425695,-1.482412,-0.011360,-1.652917,0.001620,0.650809,2.23619623,36.2270
2.3708,8.991078,-7.154526,-0.090120,-0.450028,0.029372,0.152036,2.18825681,54.4518
2.3750,-2.392137,9.712670,-0.212040,-0.005791,0.085305,0.001437,2.22882276,0.3379
2.3792,-3.329164,4.648945,0.223323,0.113617,0.089597,0.029589,2.19117316,83.8828
2.3833,-4.147054,3.805716,0.606762,0.811369,0.189528,0.173636,2.23158148,39.8379
2.3875,-0.230219,-5.012206,-0.036773,0.988860,0.006507,0.390071,2.19894359,31.6957
